| 04/23/2021 16:21:56| Guest | Connexion | Connected Successfully| user
| 04/23/2021 16:24:28| bs00001 | UPDATE | STATUT = 'pending_for_confirmation'| documents
| 04/23/2021 16:26:12| bs00001 | Connexion | Connected Successfully| user
| 04/23/2021 16:33:13| admin | Connexion | Connected Successfully| user
| 04/23/2021 17:11:41| Department | Connexion | Connected Successfully| user
<<<<<<< Updated upstream
<<<<<<< Updated upstream
| 04/23/2021 17:20:50| Guest | Connexion | Connected Successfully| user
| 04/23/2021 17:22:24| Department | Connexion | Connected Successfully| user
| 04/23/2021 17:23:02| admin | Connexion | Connected Successfully| user
| 04/23/2021 17:25:00| Department | INSERTION | 2, 1, 4| enseigner
| 04/23/2021 17:25:00| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:25:00| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:25:14| Department | INSERTION | 2, 1, 4| enseigner
| 04/23/2021 17:25:14| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:25:14| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:25:47| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:25:47| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:25:58| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:25:58| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:26:05| Department | INSERTION | 2, 1, 4| enseigner
| 04/23/2021 17:26:05| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:26:05| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:27:43| Department | INSERTION | 2, 1, 4| enseigner
| 04/23/2021 17:27:43| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:27:43| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:27:55| Department | INSERTION | 2, 1, 4| enseigner
| 04/23/2021 17:27:55| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:27:55| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:28:02| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:28:02| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 17:28:10| Department | INSERTION | 1, 1, 4| enseigner
| 04/23/2021 17:28:10| Department | INSERTION | 4, 1, 4| enseigner
| 04/23/2021 23:32:48| Guest | Connexion | Connected Successfully| user
| 04/23/2021 23:33:09| admin | Connexion | Connected Successfully| user
| 04/23/2021 23:44:53| bs00002 | Connexion | Connected Successfully| user
| 04/23/2021 23:57:10| admin | Connexion | Connected Successfully| user
| 04/24/2021 00:02:53| Guest | Connexion | Connected Successfully| user
| 04/24/2021 00:07:13| Department | Connexion | Connected Successfully| user
| 04/24/2021 00:47:27| teacher | Connexion | Connected Successfully| user
| 04/24/2021 00:55:35| admin | UPDATE | TITRE = 'Bouts de bois de Dieu', DEPARTMENT = 2, BOOK_STATUS = 'New', AUTHEUR = 'Ousmane Sembene', DATE_EDITION = '2021-02-02', PICTURE = 'BKQC4747.JPG'| documents
| 04/24/2021 00:55:53| admin | UPDATE | TITRE = 'Candide', DEPARTMENT = 3, BOOK_STATUS = 'Good', AUTHEUR = 'Voltaire', DATE_EDITION = '2021-02-02', PICTURE = 'BMGP8263.JPG'| documents
| 04/24/2021 01:01:34| Guest | Connexion | Connected Successfully| user
| 04/24/2021 01:04:14| bs00002 | INSERTION | bs00002, English, Sanou, esante_home_page.PNG, sva;hs vasnvdvjh jxnvbjhvnscv xdajhfnbd fknmcbvjknvwjnsvvw ;av, 04/24/2021 01:04:14| data_bank
| 04/24/2021 01:13:29| admin | Connexion | Connected Successfully| user
| 04/24/2021 01:21:02| bs00002 | Connexion | Connected Successfully| user
| 04/24/2021 01:24:19| admin | Connexion | Connected Successfully| user
| 04/24/2021 01:26:59| bs00002 | Connexion | Connected Successfully| user
| 04/24/2021 01:30:07| Guest | Connexion | Connected Successfully| user
| 04/24/2021 01:50:10| bs00002 | Connexion | Connected Successfully| user
| 04/24/2021 02:15:08| Guest | Connexion | Connected Successfully| user
| 04/24/2021 03:09:40| admin | Connexion | Connected Successfully| user
| 04/24/2021 03:36:17| teacher | INSERTION | bs00001, 2, 4| notes
| 04/24/2021 03:37:38| Department | Connexion | Connected Successfully| user
| 04/24/2021 03:38:14| admin | DELETION | ID_CLASSE = 8| classe
| 04/24/2021 03:38:22| admin | DELETION | ID_CLASSE = 8| classe
| 04/24/2021 03:38:37| admin | Connexion | Connected Successfully| user
| 04/24/2021 03:38:51| Department | DELETION | ID_CLASSE = 5| classe
| 04/24/2021 03:40:12| Department | DELETION | ID_CLASSE = 7| classe
| 04/24/2021 03:45:29| teacher | INSERTION | bs00001, 2, 4| notes
| 04/24/2021 03:45:46| teacher | INSERTION | bs00002, 1, 4| notes
| 04/24/2021 03:45:46| teacher | INSERTION | bs00003, 1, 4| notes
| 04/24/2021 05:05:35| teacher | INSERTION | bs00002, 1, 4| notes
| 04/24/2021 05:05:35| teacher | INSERTION | bs00003, 1, 4| notes
| 04/24/2021 05:40:40| teacher | UPDATE | NOM_PROF = 'Tindano', PRENOM_PROF = 'Maxime', EMAIL_PROF = 'patrick2yanogo@gmail.com', TELEPHONE_PROF = 76714589, CNIB_PROF = 'B4562156451'| professeur
| 04/24/2021 05:41:43| teacher | UPDATE | NOM_PROF = 'Bako', PRENOM_PROF = 'Maxime', EMAIL_PROF = 'patrick2yanogo@outlook.com', TELEPHONE_PROF = 76714580, CNIB_PROF = 'B4562156450'| professeur
| 04/24/2021 05:44:08| teacher | Connexion | Connected Successfully| user
| 04/24/2021 06:16:37| bs00002 | UPDATE | NOM = 'Emmanuella', PRENOM = 'Yaroe', EMAIL = 'emmanuel@outlook.com', TELEPHONE = 22675757570, CNIB = 'B524585780', NUM_URGENCE = 22675757570, PROFESSION_PERE = 'Lawyer', PROFESSION_MERE = 'Accounter'| etudiant
| 04/24/2021 13:45:02| Department | Connexion | Connected Successfully| user
| 04/24/2021 13:55:09| admin | Connexion | Connected Successfully| user
| 04/24/2021 14:06:49| Department | Connexion | Connected Successfully| user
| 04/24/2021 14:10:34| admin | Connexion | Connected Successfully| user
| 04/24/2021 14:20:59| Secretaire | Connexion | Connected Successfully| user
| 04/24/2021 14:21:13| admin | UPDATE | NOM_DEPARTEMENT = 'Computer Science', CHEF_DEPARTEMENT = 'Kambou Yannick', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudantim.'| department
| 04/24/2021 14:21:21| admin | UPDATE | NOM_DEPARTEMENT = 'Computer Science', CHEF_DEPARTEMENT = 'Kambou Yannick', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudantim.'| department
| 04/24/2021 14:21:33| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudantim.'| filieres
| 04/24/2021 14:21:35| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudantim.'| filieres
| 04/24/2021 14:21:35| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudantim.'| filieres
| 04/24/2021 14:21:36| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudantim.'| filieres
| 04/24/2021 14:21:36| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudantim.'| filieres
| 04/24/2021 14:21:40| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudanti.'| filieres
| 04/24/2021 14:21:54| bs00002 | Connexion | Connected Successfully| user
| 04/24/2021 14:22:14| admin | UPDATE | NOM_DEPARTEMENT = 'Computer Science', CHEF_DEPARTEMENT = 'Kambou Yannick', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudanti.'| department
| 04/24/2021 14:22:28| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:29| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:29| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:30| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:30| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:30| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:30| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:30| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:30| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:31| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:31| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:31| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:31| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:31| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:31| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:32| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:32| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:32| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:32| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:33| admin | UPDATE | ID_DEPARTEMENT = 3, NOM_FILIERE = 'Electricity', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit ladanti.'| filieres
| 04/24/2021 14:22:45| admin | Connexion | Connected Successfully| user
| 04/24/2021 14:22:56| Department | UPDATE | NOM_DEPARTEMENT = 'Computer Science', CHEF_DEPARTEMENT = 'Kambou Yannick', DESCRIPTION = 'Lorem ipsum dolor sit amet, consectetur adipisicing elit. Dolore consequuntur molestias officiis! Aspernatur quos dolor deleniti quaerat officia unde non magnam, aliquam quis quas pariatur iure architecto placeat fugit laudnti.'| department
| 04/24/2021 14:23:14| Department | UPDATE | ID_FILIERE = 6, NOM_CLASSE = 'Electricity I', MONTANT_SCOLARITE = 5500000| classe
| 04/24/2021 14:23:15| Department | UPDATE | ID_FILIERE = 6, NOM_CLASSE = 'Electricity I', MONTANT_SCOLARITE = 5500000| classe
| 04/24/2021 14:23:17| Department | UPDATE | ID_FILIERE = 6, NOM_CLASSE = 'Electricity I', MONTANT_SCOLARITE = 5500000| classe
| 04/24/2021 14:23:25| Department | UPDATE | ID_FILIERE = 6, NOM_CLASSE = 'Electricity I', MONTANT_SCOLARITE = 550000| classe
| 04/24/2021 14:32:14| Guest | Connexion | Connected Successfully| user
| 04/24/2021 14:33:03| Secretaire | Connexion | Connected Successfully| user
| 04/24/2021 16:19:13| admin | Connexion | Connected Successfully| user
| 04/24/2021 16:29:52| Secretaire | Connexion | Connected Successfully| user
<<<<<<< Updated upstream
=======
| 04/23/2021 21:45:00| Guest | Connexion | Connected Successfully| user
| 04/23/2021 21:49:11| admin | INSERTION | rrtr, Machine Learning, Lougoudoro, 2021-04-27, 1, new, ccc.png| documents
| 04/23/2021 22:03:15| Guest | Connexion | Connected Successfully| user
| 04/23/2021 22:44:26| admin | Connexion | Connected Successfully| user
| 04/24/2021 00:02:28| bs00001 | Connexion | Connection Rejected| user
| 04/24/2021 00:02:55| bs00001 | Connexion | Connected Successfully| user
| 04/24/2021 11:38:22| Guest | Connexion | Connected Successfully| user
| 04/24/2021 12:58:09| admin | DELETION | ID_BOURSE = 2| bourse
| 04/24/2021 13:00:42| Guest | Connexion | Connected Successfully| user
| 04/24/2021 13:01:35| Guest | Connexion | Connected Successfully| user
| 04/24/2021 13:02:55| Guest | Connexion | Connected Successfully| user
| 04/24/2021 13:11:16| Guest | Connexion | Connected Successfully| user
| 04/24/2021 17:26:48| teacher | Connexion | Connected Successfully| user
>>>>>>> Stashed changes
<<<<<<< Updated upstream
=======
<<<<<<< Updated upstream
| 04/24/2021 22:35:43| Guest | Connexion | Connected Successfully| user
| 04/25/2021 10:42:03| Guest | Connexion | Connected Successfully| user
| 04/25/2021 10:49:44| Department | INSERTION | , , , , , , emmayaro71@gmail.com, master 1, nnnn| professeur
| 04/25/2021 10:49:45| Department | INSERTION | , , teacher, user_24px.png| user
| 04/25/2021 10:49:45| Department | UPDATE | ID_USER = 28| professeur
| 04/25/2021 10:49:45| Department | INSERTION | 2, 4, 4| enseigner
| 04/25/2021 10:49:45| Department | INSERTION | 1, 4, 4| enseigner
| 04/25/2021 10:49:45| Department | INSERTION | 4, 4, 4| enseigner
| 04/25/2021 12:09:22| Department | UPDATE | NOM_PROF = '', PRENOM_PROF = '', SEXE_PROF = 'selected', DATE_NAISSANCE_PROF = '2005-04-17', CNIB_PROF = '', TELEPHONE_PROF = '', EMAIL_PROF = 'emmayaro71@gmail.com', GRADE = 'master', SPECIALITE = 'nnnn'| professeur
| 04/25/2021 12:11:12| Department | UPDATE | NOM_PROF = '', PRENOM_PROF = '', SEXE_PROF = 'selected', DATE_NAISSANCE_PROF = '2005-04-17', CNIB_PROF = '', TELEPHONE_PROF = '', EMAIL_PROF = 'emmayaro71@gmail.com', GRADE = 'master', SPECIALITE = 'nnnn'| professeur
